Year,State,Flyway,Zone,American Black Duck,American Coot,American Wigeon,Blue-winged and Cinnamon Teal (not speciated),Brant,Bufflehead,Canada Goose (not speciated),Canvasback,Eider (not speciated),Emperor Goose,Gadwall,Goldeneye (not speciated),Greater White-fronted Goose,Green-winged Teal,Harlequin Duck,Light Geese (not differentiated by color phase),Long-tailed Duck,Mallard,Merganser (not speciated),Mexican-like Duck,Mottled Duck,Northern Pintail,Northern Shoveler,Redhead,Ring-necked Duck,Ruddy Duck,Sandhill Crane,Scaup (not speciated),Scoters,Swan (not differentiated),Unidentified Ducks,Whistling Duck,Wood Duck,Miscellaneous Ducks
2016.00,CT,AF,CT,0.00,0.00,0.00,0.00,2019.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2019.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016.00,DE,AF,DE,8216.00,525.00,270.00,0.00,0.00,1285.00,26603.00,60.00,0.00,0.00,2148.00,10.00,0.00,235.00,0.00,169103.00,0.00,8424.00,483.00,0.00,0.00,525.00,712.00,0.00,318.00,535.00,0.00,0.00,0.00,343.00,0.00,0.00,0.00,0.00
2016.00,GA,AF,GA,0.00,1245.00,357.00,329.00,0.00,85.00,260.00,1017.00,0.00,0.00,587.00,0.00,0.00,1734.00,0.00,260.00,36.00,339.00,202.00,0.00,8.00,0.00,426.00,0.00,11608.00,4.00,12.00,1366.00,650.00,0.00,0.00,0.00,55.00,0.00
2016.00,MA,AF,MA,0.00,0.00,0.00,0.00,1128.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1128.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016.00,MD,AF,MD,19218.00,274.00,456.00,0.00,1043.00,26720.00,293844.00,19743.00,0.00,0.00,3218.00,1076.00,0.00,2392.00,0.00,327488.00,51.00,41773.00,1128.00,0.00,0.00,2552.00,121.00,17935.00,677.00,88003.00,0.00,91840.00,7078.00,11224.00,0.00,0.00,10.00,0.00
2016.00,NC,AF,NC,0.00,0.00,0.00,0.00,45.00,0.00,13367.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13412.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63466.00,0.00,0.00,0.00,0.00
2016.00,NJ,AF,NJ,45897.00,0.00,10.00,0.00,83894.00,81.00,1318.00,2.00,0.00,0.00,137.00,0.00,0.00,0.00,0.00,85212.00,0.00,64.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,110.00,0.00,82.00,0.00,0.00,0.00,0.00
2016.00,NY,AF,NY,0.00,0.00,0.00,0.00,57265.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57265.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016.00,PA,AF,PA,916.00,336.00,6.00,0.00,0.00,105.00,21097.00,511.00,0.00,0.00,250.00,407.00,0.00,5.00,0.00,21205.00,0.00,3886.00,7789.00,0.00,0.00,4.00,36.00,1313.00,412.00,255.00,0.00,767.00,0.00,824.00,0.00,0.00,0.00,0.00
2016.00,RI,AF,RI,2362.00,5.00,120.00,0.00,4059.00,2685.00,12272.00,0.00,409.00,0.00,484.00,3785.00,0.00,0.00,4.00,16331.00,0.00,1480.00,1150.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,750.00,2.00,546.00,0.00,0.00,0.00,0.00
